source,target,weight
FAIRBURN RD SW @ WISTERIA LN SW,FAIRBURN RD SW @ BOULDER PARK DR SW,0.088
FAIRBURN RD SW @ HOWELL DR SW,FAIRBURN RD SW @ KENNER DR SW,0.168
FAIRBURN RD SW @ HOWELL DR SW,FAIRBURN RD SW @ WISTERIA LN SW,0.222
FAIRBURN RD SW @ KENNER DR SW,FAIRBURN RD @ 38,0.131
FAIRBURN RD SW @ KENNER DR SW,FAIRBURN RD SW @ HOWELL DR SW,0.168
FAIRBURN RD @ 38,FAIRBURN RD SW @ MARTIN L KING JR DR,0.12
FAIRBURN RD SW @ MARTIN L KING JR DR,MARTIN L KING JR DR SW @ HOWELL DR SW,0.138
FAIRBURN RD SW @ MARTIN L KING JR DR,FAIRBURN RD SW @ KENNER DR SW,0.251
FAIRBURN RD @ 680,FAIRBURN RD SW @ MAYS XING SW,0.2
FAIRBURN RD SW @ CASCADE RD SW,FAIRBURN RD @ 1165,0.157
FAIRBURN RD @ 1165,FAIRBURN RD @ UTOY SPRINGS,0.179
FAIRBURN RD @ UTOY SPRINGS,FAIRBURN RD @ NEWHALEM ST,0.128
FAIRBURN RD @ NEWHALEM ST,FAIRBURN RD @ VILLAGE DR,0.158
FAIRBURN RD @ VILLAGE DR,FAIRBURN RD @ SUTTLES DR,0.169
FAIRBURN RD @ SUTTLES DR,FAIRBURN RD @ GARRISON DR,0.107
FAIRBURN RD @ GARRISON DR,FAIRBURN RD @ 1581,0.158
FAIRBURN RD @ 1581,FAIRBURN RD @ MELVIN DR SW,0.163
FAIRBURN RD @ MELVIN DR SW,FAIRBURN RD SW @ HERITAGE VALLEY RD SW,0.155
FAIRBURN RD SW @ GLENVIEW CIR SW,FAIRBURN RD SW @ MT GILEAD RD SW,0.125
BARGE RD SW @ BEN HILL CT,BARGE RD @ HIGHWOOD DR,0.142
BARGE RD @ HIGHWOOD DR,BARGE RD @ PINE KNOLL AVE,0.066
BARGE RD @ PINE KNOLL AVE,BARGE RD SW @ PACIFIC DR SW,0.108
PRINCETON AVE @ COLLEGE ST,PRINCETON DR @ PRINCETON AVE,0.137
PRINCETON AVE @ COLLEGE ST,PRINCETON AVE @ MAIN ST,0.132
PRINCETON DR @ PRINCETON AVE,PRINCETON DR @ COX CT,0.046
PRINCETON DR @ PRINCETON AVE,PRINCETON AVE @ COLLEGE ST,0.137
PRINCETON DR @ COX CT,PRINCETON DR @ ATLANTA ST,0.107
PRINCETON DR @ ATLANTA ST,ATLANTA ST @ CANNON CT,0.088
ATLANTA ST @ CANNON CT,ATLANTA ST @ VIRGINIA AVE,0.138
ATLANTA ST @ CANNON CT,ATLANTA ST @ PRINCETON DR,0.081
ATLANTA ST @ VIRGINIA AVE,VIRGINIA AVE @ CONLEY ST,0.087
VIRGINIA AVE @ CONLEY ST,VIRGINIA AVE @ VICTORIA ST,0.074
VIRGINIA AVE @ CONLEY ST,VIRGINIA AVE @ ATLANTA ST,0.074
VIRGINIA AVE @ VICTORIA ST,VIRGINIA AVE @ COLLEGE ST,0.091
VIRGINIA AVE @ COLLEGE ST,VIRGINIA AVE @ HEMPHILL ST,0.076
VIRGINIA AVE @ COLLEGE ST,VIRGINIA AVE @ CONLEY ST,0.161
VIRGINIA AVE @ HEMPHILL ST,VIRGINIA AVE @ HOWELL SLADE CIR,0.169
VIRGINIA AVE @ HEMPHILL ST,VIRGINIA AVE @ COLLEGE ST,0.076
VIRGINIA AVE @ HOWELL SLADE CIR,VIRGINIA AVE @ LEE ST,0.116
VIRGINIA AVE @ HOWELL SLADE CIR,VIRGINIA AVE @ HEMPHILL ST,0.169
VIRGINIA AVE @ LEE ST,VIRGINIA AVE @ JACKSON ST,0.062
VIRGINIA AVE @ LEE ST,VIRGINIA AVE @ NORMAN BERRY DR,0.958
VIRGINIA AVE @ LEE ST,VIRGINIA AVE @ HARRISON RD,0.573
VIRGINIA AVE @ LEE ST,VIRGINIA AVE @ HOWELL SLADE CIR,0.116
VIRGINIA AVE @ JACKSON ST,VIRGINIA AVE @ ADAMS ST,0.111
VIRGINIA AVE @ JACKSON ST,VIRGINIA AVE @ LEE ST,0.062
VIRGINIA AVE @ ADAMS ST,VIRGINIA AVE @ MYRTLE ST,0.059
VIRGINIA AVE @ ADAMS ST,VIRGINIA AVE @ JACKSON ST,0.111
VIRGINIA AVE @ MYRTLE ST,VIRGINIA AVE @ MADISON ST,0.103
VIRGINIA AVE @ MYRTLE ST,VIRGINIA AVE @ ADAMS ST,0.059
VIRGINIA AVE @ MADISON ST,VIRGINIA AVE @ HARRISON RD,0.238
VIRGINIA AVE @ MADISON ST,VIRGINIA AVE @ MYRTLE ST,0.103
VIRGINIA AVE @ HARRISON RD,VIRGINIA AVE @ LEE ST,0.573
VIRGINIA AVE @ HARRISON RD,VIRGINIA AVE @ MADISON ST,0.238
VIRGINIA AVE @ NORMAN BERRY DR,VIRGINIA AVE @ DELTA BLVD,0.306
VIRGINIA AVE @ NORMAN BERRY DR,VIRGINIA AVE @ LEE ST,0.958
VIRGINIA AVE @ DELTA BLVD,VIRGINIA AVE @ LANG AVE,0.084
VIRGINIA AVE @ LANG AVE,VIRGINIA AVE @ ELKINS ST,0.09
VIRGINIA AVE @ LANG AVE,VIRGINIA AVE @ INTERNATIONAL BLVD,0.072
VIRGINIA AVE @ ELKINS ST,VIRGINIA AVE @ OAK RIDGE AVE,0.107
VIRGINIA AVE @ ELKINS ST,VIRGINIA AVE @ LANG AVE,0.09
VIRGINIA AVE @ OAK RIDGE AVE,VIRGINIA AVE @ CLAY PL,0.083
VIRGINIA AVE @ OAK RIDGE AVE,VIRGINIA AVE @ ELKINS ST,0.107
VIRGINIA AVE @ CLAY PL,DOUG DAVIS DR @ CLAY PL,0.103
DOUG DAVIS DR @ CLAY PL,DOUG DAVIS DR @ ATLANTA AVE,0.196
DOUG DAVIS DR @ ATLANTA AVE,ATLANTA AVE @ COLLEGE ST,0.129
DOUG DAVIS DR @ ATLANTA AVE,DOUG DAVIS DR @ VIRGINIA AVE,0.262
ATLANTA AVE @ COLLEGE ST,N CENTRAL AVE @ N WHITNEY AVE,0.241
ATLANTA AVE @ COLLEGE ST,DOUG DAVIS DR @ ATLANTA AVE,0.129
N CENTRAL AVE @ N WHITNEY AVE,N CENTRAL AVE @ VIRGINIA AVE,0.11
N CENTRAL AVE @ N WHITNEY AVE,N CENTRAL AVE @ DOGWOOD DR,0.11
N CENTRAL AVE @ VIRGINIA AVE,N CENTRAL AVE @ STILLWOOD DR,0.193
N CENTRAL AVE @ VIRGINIA AVE,N CENTRAL AVE @ N WHITNEY AVE,0.11
N CENTRAL AVE @ STILLWOOD DR,N CENTRAL AVE @ SYLVAN RD,0.103
N CENTRAL AVE @ STILLWOOD DR,N CENTRAL AVE @ VIRGINIA AVE,0.193
N CENTRAL AVE @ SYLVAN RD,SYLVAN RD @ N CENTRAL AVE,0.127
SYLVAN RD @ N CENTRAL AVE,SYLVAN RD @ 3107,0.177
SYLVAN RD @ N CENTRAL AVE,SYLVAN RD @ N CENTRAL AVE,0.0
SYLVAN RD @ N CENTRAL AVE,N CENTRAL AVE @ STILLWOOD DR,0.209
SYLVAN RD @ 3107,SYLVAN RD @ BAKER DR,0.113
SYLVAN RD @ 3107,SYLVAN RD @ N CENTRAL AVE,0.177
SYLVAN RD @ BAKER DR,SYLVAN RD @ 3032,0.087
SYLVAN RD @ BAKER DR,SYLVAN RD @ 3107,0.113
SYLVAN RD @ 3032,SYLVAN RD @ POPLAR ST,0.267
SYLVAN RD @ POPLAR ST,SYLVAN RD @ CEDAR AVE,0.138
SYLVAN RD @ POPLAR ST,SYLVAN RD @ BAKER DR,0.354
SYLVAN RD @ CEDAR AVE,SYLVAN RD @ REED AVE,0.212
SYLVAN RD @ CEDAR AVE,SYLVAN RD @ POPLAR ST,0.138
SYLVAN RD @ REED AVE,SYLVAN RD @ CLEVELAND AVE,0.037
SYLVAN RD @ REED AVE,SYLVAN RD @ CEDAR AVE,0.212
SYLVAN RD @ CLEVELAND AVE,SYLVAN RD @ GLENWAY DR,0.104
SYLVAN RD @ CLEVELAND AVE,SYLVAN RD @ REED AVE,0.037
SYLVAN RD @ GLENWAY DR,SYLVAN RD @ AVEBURY DR,0.119
SYLVAN RD @ GLENWAY DR,SYLVAN RD @ CLEVELAND AVE,0.104
SYLVAN RD @ AVEBURY DR,SYLVAN RD @ JEFFERSON AVE,0.081
SYLVAN RD @ AVEBURY DR,SYLVAN RD @ GLENWAY DR,0.119
SYLVAN RD @ JEFFERSON AVE,SYLVAN RD @ PARKSIDE TER,0.198
SYLVAN RD @ JEFFERSON AVE,SYLVAN RD @ AVEBURY DR,0.081
SYLVAN RD @ PARKSIDE TER,SYLVAN RD @ PEGG RD,0.096
SYLVAN RD @ PARKSIDE TER,SYLVAN RD @ JEFFERSON AVE,0.198
SYLVAN RD @ PEGG RD,SYLVAN RD @ OAKLEIGH DR,0.151
SYLVAN RD @ PEGG RD,SYLVAN RD @ PARKSIDE TER,0.096
SYLVAN RD @ OAKLEIGH DR,SYLVAN RD @ MILLEDGE ST,0.159
SYLVAN RD @ OAKLEIGH DR,SYLVAN RD @ PEGG RD,0.151
SYLVAN RD @ MILLEDGE ST,SYLVAN RD @ SAMPLER WAY,0.108
SYLVAN RD @ MILLEDGE ST,SYLVAN RD @ OAKLEIGH DR,0.159
SYLVAN RD @ SAMPLER WAY,SYLVAN RD @ LAKEWOOD AVE,0.097
SYLVAN RD @ SAMPLER WAY,SYLVAN RD @ MILLEDGE ST,0.108
SYLVAN RD @ LAKEWOOD AVE,SYLVAN RD SW @ ESTES DR,0.175
LANGSTON AVE SW @ SYLVAN RD SW,LANGSTON AVE SW @ SYLVAN PL SW,0.168
LANGSTON AVE SW @ SYLVAN PL SW,LANGSTON AVE SW @ BIRCH ST SW,0.108
LANGSTON AVE SW @ BIRCH ST SW,LANGSTON AVE SW @ VICTORY DR SW,0.105
LANGSTON AVE SW @ BIRCH ST SW,LANGSTON AVE @ SYLVAN PL,0.105
LANGSTON AVE SW @ VICTORY DR SW,LANGSTON AVE SW @ HARTE DR SW,0.089
LANGSTON AVE SW @ HARTE DR SW,LANGSTON AVE SW @ KATHERWOOD DR SW,0.138
LANGSTON AVE SW @ KATHERWOOD DR SW,LANGSTON AVE SW @ HOOD DR SW,0.167
LANGSTON AVE SW @ HOOD DR SW,LANGSTON AVE SW @ DECKNER AVE SW,0.103
LANGSTON AVE SW @ DECKNER AVE SW,MURPHY AVE SW @ LANGSTON AVE SW,0.107
MURPHY AVE SW @ LANGSTON AVE SW,MURPHY AVE SW @ ARDEN AVE SW,0.16
MURPHY AVE SW @ ARDEN AVE SW,OAKLAND CITY STATION,0.091
MURPHY AVE SW @ ARDEN AVE SW,LANGSTON AVE SW @ MURPHY AVE SW,0.188
LANGSTON AVE SW @ MURPHY AVE SW,LANGSTON AVE @ DECKNER AVE,0.062
LANGSTON AVE @ DECKNER AVE,LANGSTON AVE @ HOOD DR,0.096
LANGSTON AVE @ HOOD DR,LANGSTON AVE @ KATHERWOOD DR,0.175
LANGSTON AVE @ KATHERWOOD DR,LANGSTON AVE @ HARTE DR,0.13
LANGSTON AVE @ HARTE DR,LANGSTON AVE @ VICTORY DR,0.086
LANGSTON AVE @ VICTORY DR,LANGSTON AVE SW @ BIRCH ST SW,0.138
LANGSTON AVE @ SYLVAN PL,SYLVAN RD SW @ ASTOR AVE SW,0.203
SYLVAN RD SW @ LAKEWOOD AVE SW,SYLVAN RD @ SAMPLER WAY,0.14
N CENTRAL AVE @ DOGWOOD DR,ATLANTA AVE @ COLLEGE ST,0.156
DOUG DAVIS DR @ VIRGINIA AVE,VIRGINIA AVE @ OAK RIDGE AVE,0.121
VIRGINIA AVE @ INTERNATIONAL BLVD,VIRGINIA AVE @ NORMAN BERRY DR,0.319
VIRGINIA AVE @ ATLANTA ST,ATLANTA ST @ CANNON CT,0.154
ATLANTA ST @ PRINCETON DR,PRINCETON DR @ FREEMAN CT,0.048
PRINCETON DR @ FREEMAN CT,PRINCETON DR @ PRINCETON AVE,0.131
PRINCETON AVE @ MAIN ST,MAIN ST @ JOHN WESLEY AVE,0.202
HAMILTON BLVD @ 3400,EMPIRE BLVD SW @ BROWNS MILL RD SE,0.505
EMPIRE BLVD SW @ BROWNS MILL RD SE,EMPIRE BLVD SW @ 3485,0.15
EMPIRE BLVD SW @ 3485,EMPIRE BLVD SW @ EMPIRE WAY SW,0.157
EMPIRE BLVD SW @ EMPIRE WAY SW,EMPIRE BLVD SW @ WARD DR SW,0.375
EMPIRE BLVD SW @ WARD DR SW,EMPIRE BLVD SW @ OAK DR SW,0.172
EMPIRE BLVD SW @ OAK DR SW,EMPIRE BLVD SW @ GLENROSE CIR SW,0.149
EMPIRE BLVD SW @ GLENROSE CIR SW,EMPIRE BLVD SW @ MT ZION RD SW,0.106
EMPIRE BLVD SW @ MT ZION RD SW,HAPEVILLE RD SW @ 2909,0.158
HAPEVILLE RD SW @ 2909,HAPEVILLE RD SW @ WATERS RD SW,0.142
HAPEVILLE RD SW @ WATERS RD SW,HAPEVILLE RD SW @ OLD HAPEVILLE RD SW,0.115
HAPEVILLE RD SW @ OLD HAPEVILLE RD SW,OLD HAPEVILLE RD @ CLEVELAND AVE,0.086
OLD HAPEVILLE RD @ CLEVELAND AVE,OLD HAPEVILLE RD @ CLEVELAND AVE,0.0
OLD HAPEVILLE RD @ CLEVELAND AVE,OLD HAPEVILLE RD SW @ 2672,0.164
OLD HAPEVILLE RD SW @ 2672,OLD HAPEVILLE RD SW @ JUDY  SW,0.158
OLD HAPEVILLE RD SW @ JUDY  SW,OLD HAPEVILLE RD SW @ BREVARD AVE SW,0.086
OLD HAPEVILLE RD SW @ BREVARD AVE SW,OLD HAPEVILLE RD @ 2466,0.169
OLD HAPEVILLE RD @ 2466,OLD HAPEVILLE RD @ MACON DR,0.045
OLD HAPEVILLE RD @ MACON DR,MACON DR @ 2324,0.227
MACON DR @ 2324,MACON DR @ LANG DR,0.23
MACON DR @ LANG DR,MACON DR @ 2144,0.102
MACON DR @ 2144,MACON DR @ POLAR ROCK RD,0.141
MACON DR @ POLAR ROCK RD,LAKEWOOD AVE @ LAKEWOOD WAY,0.185
MACON DR @ POLAR ROCK RD,MACON DR SW @ LANG DR,0.203
LAKEWOOD AVE @ MACON DR,MACON DR @ POLAR ROCK RD,0.155
MACON DR SW @ LANG DR,MACON DR SW @ 2315,0.251
MACON DR SW @ 2315,MACON DR SW @ OLD HAPEVILLE RD SW,0.189
MACON DR SW @ OLD HAPEVILLE RD SW,MACON DR @ MOBLEY DR,0.172
MACON DR @ MOBLEY DR,MACON DR @ LOIS LN,0.151
MACON DR @ LOIS LN,MACON DR @ CLEVELAND AVE,0.202
MACON DR @ CLEVELAND AVE,CLEVELAND AVE SE @ 84,0.17
BROWNS MILL RD SE @ SPRINGSIDE DR SE,BROWNS MILL RD SE @ MT ZION RD SE,0.214
BROWNS MILL RD SE @ MT ZION RD SE,BROWNS MILL RD @ OAK DR,0.449
BROWNS MILL RD @ OAK DR,BROWNS MILL RD SE @ MACEDONIA RD SE,0.161
BROWNS MILL RD SE @ MACEDONIA RD SE,RUBY H HARPER BLVD SE @ 3371,0.119
RUBY H HARPER BLVD SE @ 3371,RUBY H HARPER BLVD SE @ SIMCA ST SE,0.095
RUBY H HARPER BLVD SE @ SIMCA ST SE,RUBY H HARPER BLVD SE @ 3447,0.12
RUBY H HARPER BLVD SE @ 3447,RUBY H HARPER BLVD SE @ BLAIR VILLA DR,0.14
RUBY H HARPER BLVD SE @ BLAIR VILLA DR,RUBY H HARPER BLVD SE @ ATKINSON DR,0.282
RUBY H HARPER BLVD SE @ ATKINSON DR,RUBY H HARPER BLVD SE @ SOUTHSIDE IND PKWY,0.132
RUBY H HARPER BLVD SE @ SOUTHSIDE IND PKWY,SOUTHSIDE INDUSTRIAL PKWY @ WILSON RD,0.237
SOUTHSIDE INDUSTRIAL PKWY @ WILSON RD,ZIP INDUSTRIAL BLVD @ SOUTHSIDE INDU,0.265
ZIP INDUSTRIAL BLVD @ SOUTHSIDE INDU,ZIP INDUSTRIAL BLVD SE @ 3720,0.115
ZIP INDUSTRIAL BLVD SE @ 3720,ZIP INDUSTRIAL BLVD @ 3675,0.158
ZIP INDUSTRIAL BLVD @ 3675,ZIP INDUSTRIAL BLVD SE @ 3600,0.083
ZIP INDUSTRIAL BLVD SE @ 3600,ZIP INDUSTRIAL BLVD SE @ 3550,0.154
ZIP INDUSTRIAL BLVD SE @ 3550,ZIP INDUSTRIAL BLVD SE @ BROWNS MILL,0.172
ZIP INDUSTRIAL BLVD SE @ BROWNS MILL,HAMILTON BLVD @ BROWNS MILL RD,0.127
HAMILTON BLVD @ BROWNS MILL RD,HAMILTON BLVD @ 3400,0.149
MAIN ST @ TOOMBS ST,CENTER ST @ MENEFEE ST,0.101
CENTER ST @ MENEFEE ST,MAIN ST @ JACKSON AVE,0.186
MAIN ST @ JACKSON AVE,MAIN ST @ SIMS ST,0.204
MAIN ST @ JACKSON AVE,MAIN ST @ TOOMBS ST,0.282
MAIN ST @ SIMS ST,MAIN ST @ PARK ST,0.091
MAIN ST @ PARK ST,MAIN ST @ GRIFFITH DR,0.153
MAIN ST @ PARK ST,MAIN ST @ HARRIS AVE,0.126
MAIN ST @ GRIFFITH DR,ROOSEVELT HWY @ PHIPPS RD,0.198
MAIN ST @ GRIFFITH DR,MAIN ST @ PARK ST,0.153
ROOSEVELT HWY @ PHIPPS RD,ROOSEVELT HWY @ WALNUT WAY,0.116
ROOSEVELT HWY @ WALNUT WAY,ROOSEVELT HWY @ TATUM RD,1.105
ROOSEVELT HWY @ WALNUT WAY,MAIN ST @ GRIFFITH DR,0.31
ROOSEVELT HWY @ TATUM RD,ROOSEVELT HWY @ PALMETTO LOGISTICS PKWY,0.287
ROOSEVELT HWY @ PALMETTO LOGISTICS PKWY,ROOSEVELT HWY @ HOBGOOD RD,0.162
ROOSEVELT HWY @ PALMETTO LOGISTICS PKWY,ROOSEVELT HWY @ WILKERSON MILL RD,0.295
ROOSEVELT HWY @ HOBGOOD RD,ROOSEVELT HWY @ GULLATT RD,0.503
ROOSEVELT HWY @ HOBGOOD RD,ROOSEVELT HWY @ PALMETTO LOGISTICS PKWY,0.162
ROOSEVELT HWY @ GULLATT RD,ROOSEVELT HWY @ BISHOP RD,0.533
ROOSEVELT HWY @ GULLATT RD,ROOSEVELT HWY @ HOBGOOD RD,0.503
ROOSEVELT HWY @ BISHOP RD,ROOSEVELT HWY @ 6935,0.263
ROOSEVELT HWY @ BISHOP RD,ROOSEVELT HWY @ GULLATT RD,0.533
ROOSEVELT HWY @ 6935,ROOSEVELT HWY @ 6737,0.452
ROOSEVELT HWY @ 6935,ROOSEVELT HWY @ BISHOP RD,0.263
ROOSEVELT HWY @ 6737,ROOSEVELT HWY @ JOHN RIVERS RD,0.158
ROOSEVELT HWY @ JOHN RIVERS RD,ROOSEVELT HWY @ HARBOR LAKES PKWY,0.485
ROOSEVELT HWY @ JOHN RIVERS RD,ROOSEVELT HW @ 6725,0.131
ROOSEVELT HWY @ HARBOR LAKES PKWY,SW BROAD ST @ BROOKS DR,0.853
SW BROAD ST @ BROOKS DR,SW BROAD ST @ SENOIA RD,0.192
SW BROAD ST @ SENOIA RD,SW BROAD ST @ SMITH ST,0.281
SW BROAD ST @ SMITH ST,NW BROAD ST @ DODD ST,0.144
NW BROAD ST @ DODD ST,NW BROAD ST @ 152,0.144
NW BROAD ST @ 152,NW BROAD ST @ NE BROAD ST,0.242
NW BROAD ST @ NE BROAD ST,NW BROAD ST @ BEVERLY ENGRAM PKWY,0.421
NW BROAD ST @ NE BROAD ST,ESTES DR @ NW BROAD ST,0.138
NW BROAD ST @ BEVERLY ENGRAM PKWY,ROOSEVELT HWY @ BEVERLY ENGRAM PKWY,0.124
NW BROAD ST @ BEVERLY ENGRAM PKWY,W BROAD ST @ SHAW DR,0.102
NW BROAD ST @ BEVERLY ENGRAM PKWY,HWY 138 @ JONESBORO RD,0.158
ROOSEVELT HWY @ BEVERLY ENGRAM PKWY,ROOSEVELT HWY @ LOWER DIXIE LAKE RD,0.213
ROOSEVELT HWY @ LOWER DIXIE LAKE RD,ROOSEVELT HWY @ WESTBROOK PL,0.182
ROOSEVELT HWY @ LOWER DIXIE LAKE RD,NW BROAD ST @ BEVERLY ENGRAM PKWY,0.337
ROOSEVELT HWY @ WESTBROOK PL,ROOSEVELT HWY @ THOMPSON DR,0.122
ROOSEVELT HWY @ WESTBROOK PL,ROOSEVELT HWY @ LOWER DIXIE LAKE RD,0.182
ROOSEVELT HWY @ THOMPSON DR,ROOSEVELT HWY @ GRESHAM ST,0.206
ROOSEVELT HWY @ GRESHAM ST,ROOSEVELT HWY @ WATSON ST,0.249
ROOSEVELT HWY @ GRESHAM ST,ROOSEVELT HWY @ THOMPSON,0.212
ROOSEVELT HWY @ WATSON ST,ROOSEVELT HWY @ DIXIE LAKE RD,0.128
ROOSEVELT HWY @ DIXIE LAKE RD,ROOSEVELT HWY @ ALEXANDER AVE,0.272
ROOSEVELT HWY @ DIXIE LAKE RD,ROOSEVELT HWY @ BRYANT ST,0.201
ROOSEVELT HWY @ ALEXANDER AVE,ROOSEVELT HWY @ VIRGINIA AVE,0.24
ROOSEVELT HWY @ VIRGINIA AVE,ROOSEVELT HWY @ HIGHPOINT RD,0.258
ROOSEVELT HWY @ HIGHPOINT RD,STONEWALL TELL RD @ ROOSEVELT HWY,0.277
ROOSEVELT HWY @ HIGHPOINT RD,ROOSEVELT HWY @ 6157,0.467
STONEWALL TELL RD @ ROOSEVELT HWY,CAMP DR @ STONEWALL TELL RD,0.167
STONEWALL TELL RD @ ROOSEVELT HWY,ROOSEVELT HWY @ HIGHPOINT RD,0.277
CAMP DR @ STONEWALL TELL RD,ROOSEVELT HWY @ MASON RD,0.3
CAMP DR @ STONEWALL TELL RD,STONEWALL TELL RD @ ROOSEVELT HWY,0.167
ROOSEVELT HWY @ MASON RD,ROOSEVELT HWY @ HUNTER RD,0.404
ROOSEVELT HWY @ MASON RD,CAMP DR @ STONEWALL TELL RD,0.3
ROOSEVELT HWY @ HUNTER RD,ROOSEVELT HWY @ COOK RD,0.371
ROOSEVELT HWY @ HUNTER RD,ROOSEVELT HWY @ MASON RD,0.404
ROOSEVELT HWY @ COOK RD,ROOSEVELT HWY @ MALLORY RD,0.137
ROOSEVELT HWY @ COOK RD,ROOSEVELT HWY @ HUNTER RD,0.371
ROOSEVELT HWY @ MALLORY RD,ROOSEVELT HWY @ 4285,0.176
ROOSEVELT HWY @ MALLORY RD,ROOSEVELT HWY @ COOK RD,0.137
ROOSEVELT HWY @ 4285,ROOSEVELT HWY @ WELCOME ALL RD,0.266
ROOSEVELT HWY @ WELCOME ALL RD,ROOSEVELT HWY @ FELDWOOD RD,0.241
ROOSEVELT HWY @ BEN HILL RD,ROOSEVELT HWY @ BUFFINGTON RD,0.247
ROOSEVELT HWY @ BEN HILL RD,ROOSEVELT HWY @ DELANO RD,0.851
ROOSEVELT HWY @ BUFFINGTON RD,ROOSEVELT HWY @ CAMPBELL DR,0.15
ROOSEVELT HWY @ BUFFINGTON RD,ROOSEVELT HWY @ BEN HILL RD,0.247
ROOSEVELT HWY @ CAMPBELL DR,ROOSEVELT HWY @ 3199,0.238
ROOSEVELT HWY @ 3199,ROOSEVELT HWY @ WASHINGTON RD,0.137
ROOSEVELT HWY @ 3199,ROOSEVELT HWY @ MILLER RD,0.167
ROOSEVELT HWY @ 3199,WASHINGTON RD @ ROOSEVELT HWY,0.156
ROOSEVELT HWY @ WASHINGTON RD,ROOSEVELT HWY @ ROCK HILL RD,0.322
ROOSEVELT HWY @ WASHINGTON RD,ROOSEVELT HWY @ 3199,0.137
ROOSEVELT HWY @ ROCK HILL RD,ROOSEVELT HWY @ WHITE CITY RD,0.143
ROOSEVELT HWY @ WHITE CITY RD,ROOSEVELT HWY @ KENT RD,0.173
ROOSEVELT HWY @ WHITE CITY RD,ROOSEVELT HWY @ YATES RD,0.122
ROOSEVELT HWY @ KENT RD,ROOSEVELT HWY @ JANICE DR,0.107
ROOSEVELT HWY @ KENT RD,ROOSEVELT HWY @ WHITE CITY RD,0.173
ROOSEVELT HWY @ JANICE DR,ROOSEVELT HWY @ GREENSPRING RD,0.304
ROOSEVELT HWY @ JANICE DR,ROOSEVELT HWY @ KENT RD,0.107
ROOSEVELT HWY @ GREENSPRING RD,ROOSEVELT HWY @ HERSCHEL RD,0.233
ROOSEVELT HWY @ GREENSPRING RD,ROOSEVELT HWY @ JANICE DR,0.304
ROOSEVELT HWY @ HERSCHEL RD,ROOSEVELT HWY @ 2511,0.099
ROOSEVELT HWY @ HERSCHEL RD,ROOSEVELT HWY @ 2601,0.219
ROOSEVELT HWY @ HERSCHEL RD,OLD NATIONAL HWY @ SULLIVAN RD,0.38
ROOSEVELT HWY @ 2511,ROOSEVELT HWY @ GLOBAL GATEWAY CONN,0.218
ROOSEVELT HWY @ 2511,ROOSEVELT HWY @ HERSCHEL RD,0.099
ROOSEVELT HWY @ GLOBAL GATEWAY CONN,ROOSEVELT HWY @ WICKERSHAM DR,0.481
ROOSEVELT HWY @ GLOBAL GATEWAY CONN,ROOSEVELT HWY @ 2511,0.218
ROOSEVELT HWY @ WICKERSHAM DR,ROOSEVELT HWY @ LESLEY DR,0.391
ROOSEVELT HWY @ WICKERSHAM DR,ROOSEVELT HWY @ GLOBAL GATEWAY CONN,0.481
ROOSEVELT HWY @ LESLEY DR,ROOSEVELT HWY @ GATEWAY BLVD,0.216
ESTES DR @ NW BROAD ST,NW BROAD ST @ BEVERLY ENGRAM PKWY,0.287
ROOSEVELT HWY @ HOSPITALITY WAY,ROOSEVELT HWY @ WICKERSHAM DR,0.344
ROOSEVELT HWY @ 2601,ROOSEVELT HWY @ GREENSPRING RD,0.017
ROOSEVELT HWY @ YATES RD,ROOSEVELT HWY @ WASHINGTON RD,0.344
ROOSEVELT HWY @ MILLER RD,ROOSEVELT HWY @ BUFFINGTON RD,0.222
ROOSEVELT HWY @ MILLER RD,BUFFINGTON RD @ OLD FAIRBURN RD,0.177
ROOSEVELT HWY @ YANKEE DR,ROOSEVELT HWY @ MALLORY RD,0.199
ROOSEVELT HWY @ 6157,ROOSEVELT HWY @ DIXIE LAKE RD,0.297
ROOSEVELT HWY @ BRYANT ST,ROOSEVELT HWY @ GRESHAM ST,0.172
ROOSEVELT HWY @ THOMPSON,ROOSEVELT HWY @ WESTBROOK PL,0.116
W BROAD ST @ SHAW DR,W BROAD ST @ ESTES DR,0.229
W BROAD ST @ ESTES DR,W BROAD ST @ ELDER ST,0.134
W BROAD ST @ ELDER ST,W BROAD ST @ DODD ST,0.337
W BROAD ST @ DODD ST,W BROAD ST @ SMITH ST,0.233
W BROAD ST @ SMITH ST,W BROAD ST @ SENOIA RD,0.204
W BROAD ST @ SENOIA RD,W BROAD ST @ BROOKS DR,0.223
W BROAD ST @ SENOIA RD,BROOKS DR @ SW BROAD ST,0.179
W BROAD ST @ BROOKS DR,ROOSEVELT HWY @ VILLAGE CENTER BLVD,0.79
ROOSEVELT HWY @ VILLAGE CENTER BLVD,ROOSEVELT HWY @ JOHN RIVERS RD,0.513
ROOSEVELT HW @ 6725,ROOSEVELT HWY @ 6935,0.479
ROOSEVELT HWY @ WILKERSON MILL RD,ROOSEVELT HWY @ WALNUT WAY,1.1
MAIN ST @ HARRIS AVE,MAIN ST @ JACKSON AVE,0.17
SMITH ST @ SW BROAD ST,SW BROAD ST @ SMITH ST,0.055
HWY 138 @ JONESBORO RD,HWY 138 @ PARKWAY RD,0.262
HWY 138 @ PARKWAY RD,HWY 138 @ GRESHAM ST,0.397
