source,target,weight
PONCE DE LEON AVE NE @ FREDERICA ST NE,N HIGHLAND AVE NE @ PONCE DE LEON AVE NE,0.171
PONCE DE LEON AVE NE @ N HIGHLAND AVE NE,PONCE DE LEON AVE NE @ MORELAND AVE NE,0.16
PONCE DE LEON AVE NE @ MORELAND AVE NE,PONCE DE LEON AVE @ SPRINGDALE RD,0.264
PONCE DE LEON AVE @ SPRINGDALE RD,PONCE DE LEON AVE NE @ OAKDALE RD NE,0.185
PONCE DE LEON AVE @ SPRINGDALE RD,PONCE DE LEON AVE NE @ BRIARCLIFF RD,0.263
PONCE DE LEON AVE NE @ OAKDALE RD NE,PONCE DE LEON AVE NE @ FAIRVIEW RD NE,0.261
PONCE DE LEON AVE NE @ FAIRVIEW RD NE,PONCE DE LEON AVE NE @ CLIFTON RD,0.366
PONCE DE LEON AVE NE @ CLIFTON RD,PONCE DE LEON AVE @ S PONCE DE LEON AVE,0.224
PONCE DE LEON AVE @ S PONCE DE LEON AVE,PONCE DE LEON AVE NE @ LAKESHORE DR NE,0.171
PONCE DE LEON AVE @ S PONCE DE LEON AVE,PONCE DE LEON AVE @ CLIFTON RD,0.211
PONCE DE LEON AVE NE @ LAKESHORE DR NE,PONCE DE LEON AVE @ PONCE DE LEON MNR,0.169
PONCE DE LEON AVE @ PONCE DE LEON MNR,E LAKE RD @ 2085,0.205
PONCE DE LEON AVE @ PONCE DE LEON MNR,PONCE DE LEON AVE @ N PONCE DE LEON AVE,0.162
E LAKE RD @ 2085,E LAKE RD @ RIDGECREST RD,0.196
E LAKE RD @ RIDGECREST RD,E LAKE RD @ PADEN CIR,0.278
E LAKE RD @ RIDGECREST RD,E LAKE RD @ 2086,0.2
E LAKE RD @ PADEN CIR,EAST LAKE STATION - SOUTH LOOP,0.14
EAST LAKE STATION - SOUTH LOOP,E LAKE DR @ PADEN CIR,0.128
EAST LAKE STATION - SOUTH LOOP,W HOWARD AVE @ PADEN CIR,0.064
EAST LAKE STATION - SOUTH LOOP,E LAKE DR @ 3RD AVE,0.125
E LAKE DR @ PADEN CIR,E LAKE RD @ RIDGECREST RD,0.304
E LAKE RD @ 2086,PONCE DE LEON AVE @ PONCE DE LEON MNR,0.2
PONCE DE LEON AVE @ N PONCE DE LEON AVE,PONCE DE LEON AVE @ S PONCE DE LEON AVE,0.17
PONCE DE LEON AVE @ CLIFTON RD,PONCE DE LEON AVE @ LULLWATER RD NE,0.34
PONCE DE LEON AVE @ LULLWATER RD NE,PONCE DE LEON AVE @ OAKDALE RD NE,0.284
PONCE DE LEON AVE @ OAKDALE RD NE,PONCE DE LEON AVE @ SPRINGDALE RD,0.2
PONCE DE LEON AVE NE @ BRIARCLIFF RD,PONCE DE LEON AVE @ N HIGHLAND AVE NE,0.177
PONCE DE LEON AVE @ N HIGHLAND AVE NE,PONCE DE LEON AVE @ N HIGHLAND AVE,0.043
PONCE DE LEON AVE @ N HIGHLAND AVE,PONCE DE LEON AVE NE @ FREDERICA ST NE,0.14
PONCE DE LEON AVE NE @ BARNETT ST NE,PONCE DE LEON AVE NE @ BONAVENTURE AVE,0.124
PONCE DE LEON AVE NE @ 680,PONCE DE LEON AVE NE @ PONCE DE LEON CT,0.16
PONCE DE LEON AVE NE @ PONCE DE LEON CT,PONCE DE LEON AVE NE @ MONROE DR NE,0.149
PONCE DE LEON AVE NE @ PONCE DE LEON CT,BOULEVARD NE @ PONCE DE LEON AVE,0.179
PONCE DE LEON AVE NE @ MONROE DR NE,PONCE DE LEON AVE NE @ CHARLES ALLEN DR NE,0.106
PONCE DE LEON AVE NE @ CHARLES ALLEN DR NE,PONCE DE LEON AVE NE @ DURANT PL NE,0.229
PONCE DE LEON AVE NE @ ARGONNE AVE NE,PONCE DE LEON AVE NE @ PENN AVE NE,0.113
PONCE DE LEON AVE NE @ PENN AVE NE,PONCE DE LEON AVE NE @ PIEDMONT AVE NE,0.108
PONCE DE LEON AVE NE @ PIEDMONT AVE NE,PONCE DE LEON AVE NE @ JUNIPER ST NE,0.121
HAMILTON E HOLMES STATION - BUS LOOP,MARTIN L KING JR DR @ WILLIS MILL RD SW,0.218
HAMILTON E HOLMES STATION - BUS LOOP,HAMILTON E HOLMES @ MARTIN L KING JR DR,0.163
HAMILTON E HOLMES STATION - BUS LOOP,MARTIN L KING JR DR SW @ 2500,0.112
MARTIN L KING JR DR @ WILLIS MILL RD SW,MARTIN L KING JR DR @ FLORIDA AVE,0.143
