,stop_1,stop_2,stop1_lat,stop1_lon,stop2_lat,stop2_lon,hav_distance
340510,CANDLER RD @ TILSON RD,CANDLER RD @ MCAFEE RD,33.729975,-84.28161,33.732321,-84.283587,0.198
340511,CANDLER RD @ MCAFEE RD,CANDLER RD @ MELLVILLE AVE,33.731891,-84.283359,33.73319,-84.284478,0.11
340512,CANDLER RD @ MCAFEE RD,CANDLER RD @ MELLVILLE AVE,33.731891,-84.283359,33.733655,-84.284695,0.144
340513,CANDLER RD @ MCAFEE RD,CANDLER RD @ MELLVILLE AVE,33.732321,-84.283587,33.73319,-84.284478,0.079
340514,CANDLER RD @ MCAFEE RD,CANDLER RD @ MELLVILLE AVE,33.732321,-84.283587,33.733655,-84.284695,0.112
340515,CANDLER RD @ MELLVILLE AVE,CANDLER RD @ NORTHVIEW AVE,33.73319,-84.284478,33.734537,-84.285588,0.113
340516,CANDLER RD @ MELLVILLE AVE,CANDLER RD @ NORTHVIEW AVE,33.73319,-84.284478,33.734444,-84.285278,0.098
340517,CANDLER RD @ MELLVILLE AVE,CANDLER RD @ NORTHVIEW AVE,33.733655,-84.284695,33.734537,-84.285588,0.08
340518,CANDLER RD @ MELLVILLE AVE,CANDLER RD @ NORTHVIEW AVE,33.733655,-84.284695,33.734444,-84.285278,0.064
340519,CANDLER RD @ NORTHVIEW AVE,CANDLER RD @ HILLSIDE AVE,33.734537,-84.285588,33.737281,-84.287323,0.214
340520,CANDLER RD @ NORTHVIEW AVE,CANDLER RD @ HILLSIDE AVE,33.734537,-84.285588,33.736988,-84.286934,0.186
340521,CANDLER RD @ NORTHVIEW AVE,CANDLER RD @ HILLSIDE AVE,33.734444,-84.285278,33.737281,-84.287323,0.229
340522,CANDLER RD @ NORTHVIEW AVE,CANDLER RD @ HILLSIDE AVE,33.734444,-84.285278,33.736988,-84.286934,0.2
340523,CANDLER RD @ HILLSIDE AVE,CANDLER RD @ GLENWOOD RD,33.737281,-84.287323,33.739045,-84.288318,0.135
340524,CANDLER RD @ HILLSIDE AVE,CANDLER RD @ GLENWOOD RD,33.737281,-84.287323,33.739457,-84.2883,0.16
340525,CANDLER RD @ HILLSIDE AVE,CANDLER RD @ GLENWOOD RD,33.736988,-84.286934,33.739045,-84.288318,0.163
340526,CANDLER RD @ HILLSIDE AVE,CANDLER RD @ GLENWOOD RD,33.736988,-84.286934,33.739457,-84.2883,0.188
340527,CANDLER RD @ GLENWOOD RD,CANDLER RD @ EASTWOOD DR,33.739045,-84.288318,33.740746,-84.288995,0.124
340528,CANDLER RD @ GLENWOOD RD,CANDLER RD @ EASTWOOD DR,33.739457,-84.2883,33.740746,-84.288995,0.098
340529,CANDLER RD @ EASTWOOD DR,CANDLER RD @ AMELIA AVE,33.740746,-84.288995,33.741758,-84.289473,0.075
340530,CANDLER RD @ AMELIA AVE,CANDLER RD @ WHITE OAK DR,33.741758,-84.289473,33.743214,-84.290451,0.115
340531,CANDLER RD @ AMELIA AVE,CANDLER RD @ WHITE OAK DR,33.741758,-84.289473,33.742948,-84.290027,0.088
